Analysis,r_value,mZp_GeV,xsecXBR_pb
ATLAS-EXOT-2018-48,0.6666666666666666,2427.13567839196,-2.1876141239188076
ATLAS-EXOT-2018-48,0.6666666666666666,2414.572864321608,-2.1828466802792423
ATLAS-EXOT-2018-48,0.6666666666666666,2402.010050251256,-2.178079236639678
ATLAS-EXOT-2018-48,0.6666666666666666,2389.447236180905,-2.173311793000113
ATLAS-EXOT-2018-48,0.6666666666666666,2384.3998759890706,-2.1713963777827585
ATLAS-EXOT-2018-48,0.6666666666666666,2376.884422110553,-2.1668851351035197
ATLAS-EXOT-2018-48,0.6666666666666666,2364.3216080402008,-2.1572105735373492
ATLAS-EXOT-2018-48,0.6666666666666666,2355.873283553615,-2.1499673983162495
ATLAS-EXOT-2018-48,0.6666666666666666,2351.758793969849,-2.1464398386151604
ATLAS-EXOT-2018-48,0.6666666666666666,2339.1959798994976,-2.135669103692972
ATLAS-EXOT-2018-48,0.6666666666666666,2330.878862402228,-2.128538418849741
ATLAS-EXOT-2018-48,0.6666666666666666,2326.6331658291456,-2.1248983687707828
ATLAS-EXOT-2018-48,0.6666666666666666,2314.070351758794,-2.1141276338485944
ATLAS-EXOT-2018-48,0.6666666666666666,2305.8844412508415,-2.1071094393832324
ATLAS-EXOT-2018-48,0.6666666666666666,2301.5075376884424,-2.1033568989264055
ATLAS-EXOT-2018-48,0.6666666666666666,2288.9447236180904,-2.100926872060474
ATLAS-EXOT-2018-48,0.6666666666666666,2276.381909547739,-2.099634214474941
ATLAS-EXOT-2018-48,0.6666666666666666,2263.819095477387,-2.098341556889408
ATLAS-EXOT-2018-48,0.6666666666666666,2251.256281407035,-2.097048899303875
ATLAS-EXOT-2018-48,0.6666666666666666,2238.693467336684,-2.095756241718342
ATLAS-EXOT-2018-48,0.6666666666666666,2226.1306532663316,-2.094463584132809
ATLAS-EXOT-2018-48,0.6666666666666666,2213.56783919598,-2.093170926547276
ATLAS-EXOT-2018-48,0.6666666666666666,2201.005025125628,-2.091878268961743
ATLAS-EXOT-2018-48,0.6666666666666666,2188.4422110552764,-2.0905856113762105
ATLAS-EXOT-2018-48,0.6666666666666666,2175.879396984925,-2.0892929537906775
ATLAS-EXOT-2018-48,0.6666666666666666,2163.316582914573,-2.0880020552206653
ATLAS-EXOT-2018-48,0.6666666666666666,2150.753768844221,-2.086724456466055
ATLAS-EXOT-2018-48,0.6666666666666666,2140.7710362119897,-2.085680459916724
ATLAS-EXOT-2018-48,0.6666666666666666,2138.190954773869,-2.085423503617582
ATLAS-EXOT-2018-48,0.6666666666666666,2125.6281407035176,-2.084283884267109
ATLAS-EXOT-2018-48,0.6666666666666666,2113.065326633166,-2.0833104982771338
ATLAS-EXOT-2018-48,0.6666666666666666,2100.502512562814,-2.082291744560119
ATLAS-EXOT-2018-48,0.6666666666666666,2087.9396984924624,-2.0710901900191967
ATLAS-EXOT-2018-48,0.6666666666666666,2080.4930849720577,-2.064251480450215
ATLAS-EXOT-2018-48,0.6666666666666666,2075.3768844221104,-2.0599151501566766
ATLAS-EXOT-2018-48,0.6666666666666666,2062.814070351759,-2.049267305004102
ATLAS-EXOT-2018-48,0.6666666666666666,2055.210196190562,-2.042822500983706
ATLAS-EXOT-2018-48,0.6666666666666666,2050.251256281407,-2.0386194598515277
ATLAS-EXOT-2018-48,0.6666666666666666,2037.6884422110552,-2.027971614698953
ATLAS-EXOT-2018-48,0.6666666666666666,2029.9273074090659,-2.0213935215171976
ATLAS-EXOT-2018-48,0.6666666666666666,2025.1256281407036,-2.017323769546379
ATLAS-EXOT-2018-48,0.6666666666666666,2012.5628140703518,-2.006675924393804
ATLAS-EXOT-2018-48,0.6666666666666666,2004.6444186275694,-1.9999645420506886
ATLAS-EXOT-2018-48,0.6666666666666666,2000.0,-1.9960280792412295
ATLAS-EXOT-2018-48,0.6666666666666666,4157.019697387303,-2.9578135218158024
ATLAS-EXOT-2018-48,0.6666666666666666,4148.24120603015,-2.9576714419271752
ATLAS-EXOT-2018-48,0.6666666666666666,4139.195717898609,-2.9428396385770714
ATLAS-EXOT-2018-48,0.6666666666666666,4135.678391959799,-2.940377537889102
ATLAS-EXOT-2018-48,0.6666666666666666,4123.115577889447,-2.9322169189254295
ATLAS-EXOT-2018-48,0.6666666666666666,4116.312696946497,-2.921410659110563
ATLAS-EXOT-2018-48,0.6666666666666666,4110.552763819096,-2.9186814860988077
ATLAS-EXOT-2018-48,0.6666666666666666,4098.880823974587,-2.8999816796440543
ATLAS-EXOT-2018-48,0.6666666666666666,4183.533509569903,-2.981610391721741
ATLAS-EXOT-2018-48,0.6666666666666666,4173.366834170854,-2.980673157692017
ATLAS-EXOT-2018-48,0.6666666666666666,4163.482778045524,-2.9642686180435804
ATLAS-EXOT-2018-48,0.6666666666666666,4214.496940674451,-3.012997184711655
ATLAS-EXOT-2018-48,0.6666666666666666,4211.05527638191,-3.012905616982154
ATLAS-EXOT-2018-48,0.6666666666666666,4207.4185395457,-3.0071265769765976
ATLAS-EXOT-2018-48,0.6666666666666666,4198.4924623115585,-3.0029877727785075
ATLAS-EXOT-2018-48,0.6666666666666666,4187.750142962861,-2.985697597510089
ATLAS-EXOT-2018-48,0.6666666666666666,4243.31302411355,-3.04072114636675
ATLAS-EXOT-2018-48,0.6666666666666666,4236.180904522613,-3.040612271169292
ATLAS-EXOT-2018-48,0.6666666666666666,4228.830177480976,-3.0285555564431066
ATLAS-EXOT-2018-48,0.6666666666666666,4270.293413696556,-3.065313879164302
ATLAS-EXOT-2018-48,0.6666666666666666,4261.306532663317,-3.0645766065104643
ATLAS-EXOT-2018-48,0.6666666666666666,4252.519808268478,-3.0499845359096156
ATLAS-EXOT-2018-48,0.6666666666666666,4299.352776818689,-3.0934528143518527
ATLAS-EXOT-2018-48,0.6666666666666666,4298.994974874373,-3.0934440112195096
