

# Contour value=0.67 
mZp_GeV,xsecXBR_pb
4.6834e+03,-2.2418e+00
4.6683e+03,-2.2408e+00
4.6533e+03,-2.2399e+00
4.6382e+03,-2.2397e+00
4.6231e+03,-2.2410e+00
4.6080e+03,-2.2422e+00
4.5930e+03,-2.2505e+00
4.5779e+03,-2.2626e+00
4.5727e+03,-2.2667e+00
4.5628e+03,-2.2769e+00
4.5477e+03,-2.2918e+00
4.5362e+03,-2.3026e+00
4.5327e+03,-2.3060e+00
4.5176e+03,-2.3201e+00
4.5025e+03,-2.3343e+00
4.4995e+03,-2.3386e+00
4.4874e+03,-2.3558e+00
4.4752e+03,-2.3745e+00
4.4724e+03,-2.3797e+00
4.4573e+03,-2.4072e+00
4.4555e+03,-2.4104e+00
4.4422e+03,-2.4303e+00
4.4302e+03,-2.4463e+00
4.4271e+03,-2.4505e+00
4.4121e+03,-2.4709e+00
4.4002e+03,-2.4822e+00
4.3970e+03,-2.4858e+00
4.3905e+03,-2.4822e+00
4.3819e+03,-2.4780e+00
4.3668e+03,-2.4713e+00
4.3518e+03,-2.4649e+00
4.3367e+03,-2.4585e+00
4.3216e+03,-2.4520e+00
4.3082e+03,-2.4463e+00
4.3065e+03,-2.4456e+00
4.2915e+03,-2.4263e+00
4.2832e+03,-2.4104e+00
4.2764e+03,-2.3973e+00
4.2646e+03,-2.3745e+00
4.2613e+03,-2.3665e+00
4.2509e+03,-2.3386e+00
4.2462e+03,-2.3272e+00
4.2375e+03,-2.3026e+00
4.2312e+03,-2.2925e+00
4.2161e+03,-2.2675e+00
4.2157e+03,-2.2667e+00
4.2044e+03,-2.2308e+00
4.2010e+03,-2.2193e+00
4.1901e+03,-2.1949e+00
4.1859e+03,-2.1850e+00
4.1759e+03,-2.1589e+00
4.1709e+03,-2.1398e+00
4.1667e+03,-2.1230e+00
4.1558e+03,-2.0957e+00
4.1529e+03,-2.0871e+00
4.1424e+03,-2.0512e+00
4.1407e+03,-2.0473e+00
4.1291e+03,-2.0152e+00
4.1256e+03,-2.0070e+00
4.1149e+03,-1.9793e+00
4.1106e+03,-1.9602e+00
4.1056e+03,-1.9434e+00
4.0955e+03,-1.9088e+00
4.0943e+03,-1.9075e+00
4.0804e+03,-1.8903e+00
4.0698e+03,-1.8716e+00
4.0653e+03,-1.8662e+00
4.0503e+03,-1.8490e+00
4.0397e+03,-1.8356e+00
4.0352e+03,-1.8301e+00
4.0201e+03,-1.8096e+00
4.0136e+03,-1.7997e+00
4.0050e+03,-1.7850e+00
3.9899e+03,-1.7730e+00
3.9749e+03,-1.7679e+00
3.9625e+03,-1.7638e+00
3.9598e+03,-1.7628e+00
3.9447e+03,-1.7575e+00
3.9296e+03,-1.7513e+00
3.9146e+03,-1.7452e+00
3.8995e+03,-1.7391e+00
3.8844e+03,-1.7353e+00
3.8693e+03,-1.7315e+00
3.8551e+03,-1.7279e+00
3.8543e+03,-1.7277e+00
3.8392e+03,-1.7244e+00
3.8241e+03,-1.7212e+00
3.8090e+03,-1.7180e+00
3.7940e+03,-1.7152e+00
3.7789e+03,-1.7129e+00
3.7638e+03,-1.7106e+00
3.7487e+03,-1.7084e+00
3.7337e+03,-1.7065e+00
3.7186e+03,-1.7046e+00
3.7035e+03,-1.7029e+00
3.6884e+03,-1.7089e+00
3.6734e+03,-1.7173e+00
3.6583e+03,-1.7257e+00
3.6545e+03,-1.7279e+00
3.6432e+03,-1.7344e+00
3.6281e+03,-1.7434e+00
3.6131e+03,-1.7526e+00
3.5980e+03,-1.7614e+00
3.5914e+03,-1.7638e+00
3.5829e+03,-1.7668e+00
3.5678e+03,-1.7723e+00
3.5528e+03,-1.7778e+00
3.5377e+03,-1.7832e+00
3.5226e+03,-1.7888e+00
3.5075e+03,-1.7943e+00
3.4925e+03,-1.7968e+00
3.4774e+03,-1.7969e+00
3.4623e+03,-1.7971e+00
3.4472e+03,-1.7975e+00
3.4322e+03,-1.7980e+00
3.4171e+03,-1.7985e+00
3.4020e+03,-1.7989e+00
3.3869e+03,-1.7929e+00
3.3719e+03,-1.7858e+00
3.3568e+03,-1.7787e+00
3.3417e+03,-1.7717e+00
3.3266e+03,-1.7646e+00
3.3250e+03,-1.7638e+00
3.3116e+03,-1.7572e+00
3.2965e+03,-1.7473e+00
3.2825e+03,-1.7279e+00
3.2814e+03,-1.7264e+00
3.2663e+03,-1.7054e+00
3.2571e+03,-1.6919e+00
3.2513e+03,-1.6826e+00
3.2366e+03,-1.6560e+00
3.2362e+03,-1.6554e+00
3.2211e+03,-1.6339e+00
3.2129e+03,-1.6201e+00
3.2060e+03,-1.6073e+00
3.1937e+03,-1.5842e+00
3.1910e+03,-1.5791e+00
3.1765e+03,-1.5482e+00
3.1759e+03,-1.5470e+00
3.1608e+03,-1.5190e+00
3.1572e+03,-1.5123e+00
3.1457e+03,-1.4787e+00
3.1450e+03,-1.4764e+00
3.1307e+03,-1.4467e+00
3.1280e+03,-1.4405e+00
3.1168e+03,-1.4046e+00
3.1156e+03,-1.4016e+00
3.1039e+03,-1.3686e+00
3.1005e+03,-1.3575e+00
3.0854e+03,-1.3409e+00
3.0777e+03,-1.3327e+00
3.0704e+03,-1.3257e+00
3.0553e+03,-1.3104e+00
3.0429e+03,-1.2968e+00
3.0402e+03,-1.2939e+00
3.0251e+03,-1.2771e+00
3.0112e+03,-1.2609e+00
3.0101e+03,-1.2595e+00
2.9950e+03,-1.2510e+00
2.9799e+03,-1.2602e+00
2.9788e+03,-1.2609e+00
2.9648e+03,-1.2693e+00
2.9497e+03,-1.2776e+00
2.9347e+03,-1.2857e+00
2.9196e+03,-1.2937e+00
2.9137e+03,-1.2968e+00
2.9045e+03,-1.3020e+00
2.8894e+03,-1.2976e+00
2.8883e+03,-1.2968e+00
2.8744e+03,-1.2877e+00
2.8593e+03,-1.2770e+00
2.8442e+03,-1.2651e+00
2.8390e+03,-1.2609e+00
2.8291e+03,-1.2538e+00
2.8141e+03,-1.2432e+00
2.7990e+03,-1.2323e+00
2.7839e+03,-1.2289e+00
2.7688e+03,-1.2253e+00
2.7672e+03,-1.2249e+00
2.7538e+03,-1.2220e+00
2.7387e+03,-1.2187e+00
2.7236e+03,-1.2153e+00
2.7085e+03,-1.2118e+00
2.6935e+03,-1.2103e+00
2.6784e+03,-1.2112e+00
2.6633e+03,-1.2122e+00
2.6482e+03,-1.2131e+00
2.6332e+03,-1.2141e+00
2.6181e+03,-1.2151e+00
2.6030e+03,-1.2183e+00
2.5951e+03,-1.2249e+00
2.5879e+03,-1.2336e+00
2.5729e+03,-1.2556e+00
2.5692e+03,-1.2609e+00
2.5578e+03,-1.2787e+00
2.5460e+03,-1.2968e+00
2.5427e+03,-1.3014e+00
2.5276e+03,-1.3213e+00
2.5184e+03,-1.3327e+00
2.5126e+03,-1.3403e+00
2.4975e+03,-1.3592e+00
2.4902e+03,-1.3686e+00
2.4824e+03,-1.3788e+00
2.4673e+03,-1.3976e+00
2.4617e+03,-1.4046e+00
2.4523e+03,-1.4161e+00
2.4372e+03,-1.4336e+00
2.4312e+03,-1.4405e+00
2.4221e+03,-1.4517e+00
2.4070e+03,-1.4698e+00
2.3986e+03,-1.4764e+00
2.3920e+03,-1.4819e+00
2.3769e+03,-1.4894e+00
2.3618e+03,-1.4967e+00
2.3467e+03,-1.5038e+00
2.3317e+03,-1.5104e+00
2.3272e+03,-1.5123e+00
2.3166e+03,-1.5171e+00
2.3015e+03,-1.5237e+00
2.2968e+03,-1.5123e+00
2.2864e+03,-1.4895e+00
2.2812e+03,-1.4764e+00
2.2714e+03,-1.4457e+00
2.2699e+03,-1.4405e+00
2.2609e+03,-1.4046e+00
2.2563e+03,-1.3911e+00
2.2491e+03,-1.3686e+00
2.2415e+03,-1.3327e+00
2.2412e+03,-1.3316e+00
2.2325e+03,-1.2968e+00
2.2261e+03,-1.2628e+00
2.2258e+03,-1.2609e+00
2.2170e+03,-1.2249e+00
2.2111e+03,-1.1890e+00
2.2111e+03,-1.1889e+00
2.2020e+03,-1.1531e+00
2.1960e+03,-1.1236e+00
2.1930e+03,-1.1172e+00
2.1809e+03,-1.0909e+00
2.1765e+03,-1.0812e+00
2.1658e+03,-1.0582e+00
2.1599e+03,-1.0453e+00
2.1508e+03,-1.0226e+00
2.1463e+03,-1.0094e+00
2.1376e+03,-9.7348e-01
2.1357e+03,-9.6564e-01
2.1289e+03,-9.3756e-01
2.1206e+03,-9.0357e-01
2.1201e+03,-9.0163e-01
2.1182e+03,-8.6571e-01
2.1055e+03,-8.3222e-01
2.1042e+03,-8.2979e-01
2.0905e+03,-8.1577e-01
2.0754e+03,-8.0061e-01
2.0690e+03,-7.9386e-01
2.0603e+03,-7.8494e-01
2.0452e+03,-7.6992e-01
2.0339e+03,-7.5794e-01
2.0302e+03,-7.5768e-01
2.0156e+03,-7.5672e-01
