

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
9.4472e+02,2.5606e+02
9.4079e+02,2.5487e+02
9.3819e+02,2.5409e+02
9.3166e+02,2.5213e+02
9.3102e+02,2.5193e+02
9.2513e+02,2.4915e+02
9.2479e+02,2.4899e+02
9.7014e+02,3.1457e+01
9.7085e+02,3.1305e+01
9.7739e+02,2.9909e+01
9.8389e+02,2.8518e+01
9.8392e+02,2.8515e+01
9.9045e+02,2.7793e+01
9.9698e+02,2.7072e+01
1.0035e+03,2.7034e+01
1.0101e+03,2.8007e+01
1.0116e+03,2.8518e+01
1.0160e+03,3.1457e+01
1.0166e+03,3.1661e+01
1.0231e+03,3.3882e+01
1.0246e+03,3.4397e+01
1.0296e+03,3.6104e+01
1.0333e+03,3.7337e+01
1.0362e+03,3.8326e+01
1.0419e+03,4.0276e+01
1.0427e+03,4.0591e+01
1.0492e+03,4.2770e+01
1.0506e+03,4.3216e+01
1.0558e+03,4.4992e+01
1.0592e+03,4.6156e+01
1.0623e+03,4.7381e+01
1.0676e+03,4.9095e+01
1.0688e+03,4.9738e+01
1.0754e+03,5.1657e+01
1.0765e+03,5.2035e+01
1.0819e+03,5.4172e+01
1.0844e+03,5.4975e+01
1.0884e+03,5.7103e+01
1.0918e+03,5.7915e+01
1.0884e+03,6.0620e+01
1.0875e+03,6.0854e+01
1.0819e+03,6.1263e+01
1.0754e+03,6.1740e+01
1.0688e+03,6.2217e+01
1.0623e+03,6.2694e+01
