

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
1.2764e+03,2.4771e+02
1.2773e+03,2.4899e+02
1.2782e+03,2.5193e+02
1.2786e+03,2.5487e+02
1.2789e+03,2.5781e+02
1.2793e+03,2.6075e+02
1.2796e+03,2.6369e+02
1.2799e+03,2.6663e+02
1.2803e+03,2.6957e+02
1.2806e+03,2.7251e+02
1.2810e+03,2.7545e+02
1.2813e+03,2.7839e+02
1.2817e+03,2.8133e+02
1.2820e+03,2.8427e+02
1.2824e+03,2.8721e+02
1.2828e+03,2.9015e+02
1.2832e+03,2.9309e+02
1.2838e+03,2.9603e+02
1.2843e+03,2.9897e+02
1.2846e+03,3.0191e+02
1.2846e+03,3.0485e+02
1.2848e+03,3.0779e+02
1.2854e+03,3.1019e+02
1.2856e+03,3.1073e+02
1.2864e+03,3.1367e+02
1.2873e+03,3.1661e+02
1.2882e+03,3.1955e+02
1.2890e+03,3.2249e+02
1.2899e+03,3.2543e+02
1.2907e+03,3.2837e+02
1.2916e+03,3.3131e+02
1.2924e+03,3.3425e+02
1.2933e+03,3.3719e+02
1.2941e+03,3.4013e+02
1.2945e+03,3.4126e+02
1.2950e+03,3.4307e+02
1.2958e+03,3.4601e+02
1.2966e+03,3.4894e+02
1.2969e+03,3.5188e+02
1.2969e+03,3.5482e+02
1.2970e+03,3.5776e+02
1.2971e+03,3.6070e+02
1.2971e+03,3.6364e+02
1.2972e+03,3.6658e+02
1.2972e+03,3.6952e+02
1.2973e+03,3.7246e+02
1.2973e+03,3.7540e+02
1.2974e+03,3.7834e+02
1.2974e+03,3.8128e+02
1.2975e+03,3.8422e+02
1.2975e+03,3.8716e+02
1.2976e+03,3.9010e+02
1.2976e+03,3.9304e+02
1.2977e+03,3.9598e+02
1.2981e+03,3.9892e+02
1.2988e+03,4.0186e+02
1.2997e+03,4.0480e+02
1.3007e+03,4.0774e+02
1.3016e+03,4.1068e+02
1.3026e+03,4.1362e+02
1.3035e+03,4.1656e+02
1.3035e+03,4.1661e+02
1.3044e+03,4.1950e+02
1.3054e+03,4.2244e+02
1.3063e+03,4.2538e+02
1.3072e+03,4.2832e+02
1.3081e+03,4.3126e+02
1.3091e+03,4.3420e+02
1.3100e+03,4.3714e+02
1.3109e+03,4.4008e+02
1.3118e+03,4.4302e+02
1.3126e+03,4.4535e+02
1.3128e+03,4.4595e+02
1.3137e+03,4.4889e+02
1.3148e+03,4.5183e+02
1.3161e+03,4.5477e+02
1.3174e+03,4.5771e+02
1.3187e+03,4.6065e+02
1.3200e+03,4.6359e+02
1.3212e+03,4.6653e+02
1.3216e+03,4.6737e+02
1.3225e+03,4.6947e+02
1.3238e+03,4.7241e+02
1.3250e+03,4.7535e+02
1.3263e+03,4.7829e+02
1.3276e+03,4.8123e+02
1.3288e+03,4.8417e+02
1.3301e+03,4.8711e+02
1.3307e+03,4.8844e+02
1.3313e+03,4.9005e+02
1.3326e+03,4.9299e+02
1.3339e+03,4.9593e+02
1.3351e+03,4.9887e+02
1.3307e+03,5.0139e+02
1.3299e+03,5.0181e+02
1.3216e+03,5.0444e+02
1.3206e+03,5.0475e+02
1.3126e+03,5.0731e+02
1.3114e+03,5.0769e+02
1.3035e+03,5.1018e+02
1.3021e+03,5.1063e+02
1.2945e+03,5.1298e+02
1.2926e+03,5.1357e+02
1.2854e+03,5.1578e+02
1.2831e+03,5.1651e+02
1.2764e+03,5.1857e+02
1.2735e+03,5.1945e+02
1.2673e+03,5.2135e+02
1.2640e+03,5.2239e+02
1.2583e+03,5.2384e+02
1.2533e+03,5.2533e+02
1.2492e+03,5.2629e+02
1.2409e+03,5.2827e+02
1.2402e+03,5.2842e+02
1.2312e+03,5.3056e+02
1.2284e+03,5.3121e+02
1.2221e+03,5.3270e+02
1.2160e+03,5.3415e+02
1.2131e+03,5.3483e+02
1.2040e+03,5.3695e+02
1.2035e+03,5.3709e+02
1.1950e+03,5.3907e+02
1.1909e+03,5.4003e+02
1.1859e+03,5.4102e+02
1.1778e+03,5.4296e+02
1.1769e+03,5.4317e+02
1.1678e+03,5.4478e+02
1.1616e+03,5.4590e+02
1.1588e+03,5.4671e+02
1.1511e+03,5.4884e+02
1.1497e+03,5.4916e+02
1.1407e+03,5.5117e+02
1.1382e+03,5.5178e+02
1.1317e+03,5.5335e+02
1.1257e+03,5.5472e+02


# Contour value=15.00 
mPsiT_GeV,deltaM_GeV
1.3862e+03,5.0000e+00
1.3894e+03,7.9397e+00
1.3920e+03,1.0879e+01
1.3928e+03,1.3819e+01
1.3938e+03,1.6759e+01
1.3940e+03,1.7315e+01
1.3947e+03,1.9698e+01
1.3957e+03,2.2638e+01
1.3967e+03,2.5578e+01
1.3976e+03,2.8518e+01
1.3981e+03,3.1457e+01
1.3984e+03,3.4397e+01
1.3987e+03,3.7337e+01
1.3990e+03,4.0276e+01
1.3993e+03,4.3216e+01
1.3995e+03,4.6156e+01
1.3998e+03,4.9095e+01
1.4001e+03,5.2035e+01
1.4004e+03,5.4975e+01
1.4007e+03,5.7915e+01
1.4010e+03,6.0854e+01
1.4017e+03,6.3794e+01
1.4022e+03,6.6734e+01
1.4028e+03,6.9673e+01
1.4030e+03,7.1075e+01
1.4033e+03,7.2613e+01
1.4038e+03,7.5553e+01
1.4044e+03,7.8492e+01
1.4049e+03,8.1432e+01
1.4054e+03,8.4372e+01
1.4059e+03,8.7312e+01
1.4065e+03,9.0251e+01
1.4070e+03,9.3191e+01
1.4075e+03,9.6131e+01
1.4081e+03,9.9070e+01
1.4088e+03,1.0201e+02
1.4097e+03,1.0495e+02
1.4106e+03,1.0789e+02
1.4114e+03,1.1083e+02
1.4121e+03,1.1290e+02
1.4123e+03,1.1377e+02
1.4132e+03,1.1671e+02
1.4141e+03,1.1965e+02
1.4150e+03,1.2259e+02
1.4158e+03,1.2553e+02
1.4167e+03,1.2847e+02
1.4176e+03,1.3141e+02
1.4185e+03,1.3435e+02
1.4194e+03,1.3729e+02
1.4202e+03,1.4023e+02
1.4211e+03,1.4312e+02
1.4211e+03,1.4317e+02
1.4220e+03,1.4611e+02
1.4229e+03,1.4905e+02
1.4235e+03,1.5198e+02
1.4239e+03,1.5492e+02
1.4243e+03,1.5786e+02
1.4247e+03,1.6080e+02
1.4251e+03,1.6374e+02
1.4256e+03,1.6668e+02
1.4260e+03,1.6962e+02
1.4264e+03,1.7256e+02
1.4268e+03,1.7550e+02
1.4273e+03,1.7844e+02
1.4277e+03,1.8138e+02
1.4281e+03,1.8432e+02
1.4287e+03,1.8726e+02
1.4294e+03,1.9020e+02
1.4300e+03,1.9314e+02
1.4302e+03,1.9364e+02
1.4307e+03,1.9608e+02
1.4314e+03,1.9902e+02
1.4317e+03,2.0196e+02
1.4319e+03,2.0490e+02
1.4321e+03,2.0784e+02
1.4323e+03,2.1078e+02
1.4324e+03,2.1372e+02
1.4329e+03,2.1666e+02
1.4334e+03,2.1960e+02
1.4342e+03,2.2254e+02
1.4349e+03,2.2548e+02
1.4357e+03,2.2842e+02
1.4364e+03,2.3136e+02
1.4371e+03,2.3430e+02
1.4379e+03,2.3724e+02
1.4386e+03,2.4018e+02
1.4392e+03,2.4241e+02
1.4394e+03,2.4312e+02
1.4401e+03,2.4606e+02
1.4409e+03,2.4899e+02
1.4415e+03,2.5193e+02
1.4422e+03,2.5487e+02
1.4428e+03,2.5781e+02
1.4434e+03,2.6075e+02
1.4440e+03,2.6369e+02
1.4447e+03,2.6663e+02
1.4453e+03,2.6957e+02
1.4459e+03,2.7251e+02
1.4466e+03,2.7545e+02
1.4472e+03,2.7839e+02
1.4477e+03,2.8133e+02
1.4482e+03,2.8383e+02
1.4483e+03,2.8427e+02
1.4489e+03,2.8721e+02
1.4495e+03,2.9015e+02
1.4501e+03,2.9309e+02
1.4507e+03,2.9603e+02
1.4513e+03,2.9897e+02
1.4517e+03,3.0191e+02
1.4520e+03,3.0485e+02
1.4523e+03,3.0779e+02
1.4526e+03,3.1073e+02
1.4529e+03,3.1367e+02
1.4532e+03,3.1661e+02
1.4535e+03,3.1955e+02
1.4538e+03,3.2249e+02
1.4541e+03,3.2543e+02
1.4544e+03,3.2837e+02
1.4546e+03,3.3131e+02
1.4549e+03,3.3425e+02
1.4551e+03,3.3719e+02
1.4554e+03,3.4013e+02
1.4556e+03,3.4307e+02
1.4559e+03,3.4601e+02
1.4561e+03,3.4894e+02
1.4567e+03,3.5188e+02
1.4573e+03,3.5376e+02
1.4576e+03,3.5482e+02
1.4584e+03,3.5776e+02
1.4593e+03,3.6070e+02
1.4601e+03,3.6364e+02
1.4610e+03,3.6658e+02
1.4619e+03,3.6952e+02
1.4628e+03,3.7246e+02
1.4638e+03,3.7540e+02
1.4648e+03,3.7834e+02
1.4658e+03,3.8128e+02
1.4663e+03,3.8289e+02
1.4668e+03,3.8422e+02
1.4678e+03,3.8716e+02
