,
,
# Contour value=0.67 ,
mPsiT_GeV,deltaM_GeV
720.6,150.68
715.93,148.39
712.44,145.68
708.95,142.96
707.04,141.48
706.04,140.25
703.84,137.54
701.63,134.82
699.43,132.11
697.23,129.4
695.02,126.68
693.47,124.77
693,123.97
691.43,121.26
689.85,118.54
688.28,115.83
686.7,113.12
685.12,110.4
681.27,107.69
679.9,107.02
672.6,104.97
666.33,103.22
662.91,102.26
653.28,99.548
652.76,99.397
643.97,96.834
639.2,95.44
634.67,94.121
625.63,91.483
625.37,91.407
616.06,88.693
612.06,87.526
607.18,85.98
598.63,83.266
598.49,83.224
593.36,80.553
588.15,77.839
584.92,76.159
582.94,75.126
584.92,73.511
586.28,72.412
590.02,69.698
593.77,66.985
597.52,64.271
598.49,63.57
602.19,61.558
607.17,58.844
612.06,56.183
612.16,56.131
617.36,53.417
622.56,50.704
624.35,47.99
624.91,45.276
624.88,42.563
623.82,39.849
622.76,37.136
621.7,34.422
620.64,31.709
619.58,28.995
618.52,26.281
612.06,25.367
598.49,23.641
597.92,23.568
584.92,22.791
571.36,21.92
559.17,20.854
557.79,20.719
544.22,19.548
530.65,18.363
528.11,18.141
517.09,17.177
503.52,15.991
500.63,15.427
489.95,13.337
485.44,12.714
476.38,12.223
462.81,12.223
449.25,12.223
435.68,12.223
422.11,12.223
408.54,12.223
394.97,12.223
381.41,12.223
367.84,12.223
354.27,12.223
340.7,12.223
327.14,12.223
313.57,11.785
300,11.123
,
,
# Contour value=1.00 ,
mST_GeV,deltaM_GeV
1160.6,550
1159.1,547.29
1157.5,544.57
1156,541.86
1154.8,539.62
1154.5,539.15
1153,536.43
1151.5,533.72
1150,531.01
1148.5,528.29
1147,525.58
1145.6,522.86
1144.1,520.15
1142.8,517.44
1141.5,514.72
1141.2,514.22
1140.1,512.01
1138.8,509.3
1137.5,506.58
1136.2,503.87
1134.8,501.16
1133.5,498.44
1132.2,495.73
1130.9,493.02
1129.5,490.3
1128.2,487.59
1127.6,486.89
1125,484.87
1119.8,482.16
1114.6,479.45
1114.1,479.19
1109.4,476.73
1104.2,474.02
1100.5,472.12
1099.7,471.31
1096.8,468.59
1093.9,465.88
1091.1,463.17
1088.2,460.45
1086.9,459.21
1085.4,457.74
1082.6,455.03
1079.8,452.31
1077,449.6
1074.4,446.88
1073.4,445.82
1071.8,444.17
1069.1,441.46
1066.5,438.74
1064,436.03
1061.5,433.32
1059.8,431.82
1058.6,430.6
1057.1,427.89
1055.5,425.18
1053.7,422.46
1052.5,419.75
1051.3,417.04
1050.1,414.32
1048.8,411.61
1047.6,408.89
1046.4,406.18
1046.2,405.73
1045.2,403.47
1044,400.75
1040.9,398.04
1037,395.33
1033.1,392.61
1032.7,392.29
